reward: 0.7816, Epoch: 193, params: 2148289, epoch_time: 38.9501, genotype: [[5, [1, 0, 3, 5], [1, 0, 10, 10], [6, 6, 0, 10]], [[1, 0], [4, 2], [3, 2]]]
reward: 0.6592, Epoch: 194, params: 2081185, epoch_time: 16.1097, genotype: [[8, [1, 0, 0, 3], [3, 0, 2, 9], [4, 4, 2, 5]], [[1, 1], [2, 0], [3, 2]]]
reward: 0.6653, Epoch: 195, params: 2312161, epoch_time: 22.1618, genotype: [[2, [1, 0, 3, 5], [1, 3, 1, 8], [3, 6, 2, 6]], [[2, 2], [4, 3], [5, 1]]]
reward: 0.0015, Epoch: 196, params: 2314465, epoch_time: 3.0784, genotype: [[2, [1, 1, 1, 6], [0, 2, 5, 8], [3, 0, 2, 8]], [[0, 1], [2, 3], [1, 4]]]
reward: 0.0000, Epoch: 197, params: 2177665, epoch_time: 13.4097, genotype: [[6, [0, 0, 9, 7], [2, 1, 2, 1], [5, 7, 0, 2]], [[2, 1], [0, 2], [2, 4]]]
reward: 0.6391, Epoch: 198, params: 1896001, epoch_time: 12.0438, genotype: [[0, [0, 0, 7, 9], [0, 1, 9, 9], [3, 6, 9, 9]], [[1, 1], [0, 3], [3, 0]]]
reward: 0.7538, Epoch: 199, params: 2095873, epoch_time: 15.2781, genotype: [[2, [1, 0, 2, 3], [4, 4, 5, 2], [2, 4, 3, 0]], [[1, 0], [2, 2], [5, 2]]]
reward: 0.7561, Epoch: 200, params: 2040289, epoch_time: 26.4066, genotype: [[2, [0, 0, 9, 8], [0, 4, 0, 9], [4, 0, 6, 9]], [[0, 0], [3, 2], [5, 5]]]
reward: 0.7211, Epoch: 201, params: 2086081, epoch_time: 14.7504, genotype: [[0, [0, 1, 8, 4], [0, 0, 7, 7], [0, 4, 0, 1]], [[1, 3], [0, 1], [1, 4]]]
reward: 0.7472, Epoch: 202, params: 2040577, epoch_time: 20.1835, genotype: [[3, [0, 0, 5, 2], [0, 1, 10, 7], [0, 3, 9, 10]], [[2, 0], [4, 0], [5, 2]]]
reward: 0.6825, Epoch: 203, params: 2057281, epoch_time: 19.0816, genotype: [[7, [1, 1, 10, 0], [3, 3, 9, 1], [2, 4, 2, 8]], [[2, 1], [1, 2], [3, 4]]]
reward: 0.7422, Epoch: 204, params: 2088385, epoch_time: 14.4392, genotype: [[2, [1, 1, 6, 9], [3, 2, 3, 8], [0, 5, 8, 7]], [[3, 2], [2, 2], [2, 0]]]
reward: 0.7343, Epoch: 205, params: 2086081, epoch_time: 16.6381, genotype: [[7, [1, 1, 0, 5], [3, 2, 7, 3], [1, 1, 0, 4]], [[0, 1], [2, 3], [5, 1]]]
reward: 0.0000, Epoch: 206, params: 2290273, epoch_time: 3.4799, genotype: [[4, [1, 1, 5, 10], [0, 1, 6, 8], [0, 3, 1, 7]], [[0, 1], [0, 0], [5, 0]]]
reward: 0.6845, Epoch: 207, params: 2429377, epoch_time: 27.0312, genotype: [[6, [0, 1, 6, 6], [0, 4, 3, 1], [1, 5, 3, 8]], [[1, 1], [1, 3], [3, 2]]]
reward: 0.0000, Epoch: 208, params: 2417569, epoch_time: 18.8289, genotype: [[4, [0, 1, 7, 1], [1, 1, 5, 5], [7, 4, 1, 3]], [[1, 3], [0, 3], [1, 1]]]
reward: 0.7352, Epoch: 209, params: 2158081, epoch_time: 26.2264, genotype: [[9, [1, 1, 5, 9], [3, 1, 4, 6], [7, 6, 7, 0]], [[0, 3], [2, 4], [0, 1]]]
reward: 0.0000, Epoch: 210, params: 2179681, epoch_time: 14.2399, genotype: [[1, [1, 1, 1, 4], [3, 2, 7, 4], [3, 0, 9, 3]], [[3, 2], [0, 3], [0, 4]]]
reward: 0.5230, Epoch: 211, params: 2403169, epoch_time: 20.7620, genotype: [[3, [0, 1, 6, 10], [4, 4, 5, 5], [7, 0, 7, 5]], [[3, 3], [2, 2], [2, 2]]]
reward: 0.0656, Epoch: 212, params: 2023585, epoch_time: 3.5584, genotype: [[10, [1, 1, 8, 10], [3, 4, 2, 9], [3, 2, 5, 9]], [[3, 2], [2, 2], [4, 5]]]
reward: 0.0000, Epoch: 213, params: 2206465, epoch_time: 2.7626, genotype: [[3, [1, 0, 7, 1], [4, 2, 7, 3], [0, 6, 2, 5]], [[0, 1], [3, 2], [4, 1]]]
reward: 0.6844, Epoch: 214, params: 2167873, epoch_time: 21.3730, genotype: [[9, [0, 1, 2, 2], [1, 3, 6, 8], [5, 3, 1, 9]], [[1, 2], [1, 2], [3, 4]]]
reward: 0.1448, Epoch: 215, params: 2052097, epoch_time: 17.5259, genotype: [[4, [1, 1, 0, 0], [3, 2, 10, 3], [6, 5, 10, 5]], [[3, 0], [2, 2], [3, 4]]]
reward: 0.1241, Epoch: 216, params: 2181985, epoch_time: 12.8574, genotype: [[10, [1, 0, 5, 4], [3, 4, 2, 1], [3, 3, 4, 8]], [[1, 2], [1, 1], [0, 0]]]
reward: 0.6878, Epoch: 217, params: 2256577, epoch_time: 21.5421, genotype: [[9, [0, 1, 2, 6], [0, 1, 10, 9], [7, 1, 5, 1]], [[2, 1], [3, 1], [3, 3]]]
reward: 0.0055, Epoch: 218, params: 2302657, epoch_time: 3.4579, genotype: [[5, [1, 0, 4, 2], [0, 3, 5, 6], [3, 4, 7, 2]], [[0, 2], [4, 0], [2, 2]]]
reward: 0.7293, Epoch: 219, params: 2182273, epoch_time: 19.2580, genotype: [[2, [1, 0, 5, 9], [3, 1, 6, 4], [5, 4, 2, 8]], [[1, 1], [0, 4], [3, 2]]]
